City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Albany,US,42.6001,-73.9662,42.22,81,58,6.69,broken clouds
1,Barcelos,PT,41.5388,-8.6151,62.74,88,48,13.85,scattered clouds
2,Saskylakh,RU,71.9167,114.0833,1.49,95,38,2.98,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,71.08,71,100,18.34,overcast clouds
4,Krutinka,RU,56.0055,71.5113,39.58,86,100,10.29,overcast clouds
5,Kapaa,US,22.0752,-159.319,75.18,83,100,18.41,overcast clouds
6,Karpogory,RU,64.0019,44.4451,34.63,96,100,12.91,light snow
7,Pisco,PE,-13.7,-76.2167,59.05,82,65,6.91,broken clouds
8,Rio Grande,BR,-32.035,-52.0986,60.71,94,3,5.93,clear sky
9,Cabo San Lucas,MX,22.8909,-109.9124,80.62,84,26,11.3,scattered clouds
10,Bredasdorp,ZA,-34.5322,20.0403,55.94,94,44,6.51,scattered clouds
11,Ortakoy,TR,38.7373,34.0387,48.45,81,23,3.89,few clouds
12,Husavik,IS,66.0449,-17.3389,31.06,74,99,10.45,overcast clouds
13,Namibe,AO,-15.1961,12.1522,62.64,89,26,8.05,scattered clouds
14,Severo-Kurilsk,RU,50.6789,156.125,43.18,72,51,28.68,light rain
15,Sorland,NO,67.667,12.6934,42.66,67,100,6.49,overcast clouds
16,Port Alfred,ZA,-33.5906,26.891,68.18,87,61,1.01,broken clouds
17,Puli,TW,23.9664,120.9695,80.22,53,9,5.37,clear sky
18,Sao Raimundo Nonato,BR,-9.0153,-42.6994,80.69,44,2,10.51,clear sky
19,Clyde River,CA,70.4692,-68.5914,21.43,93,100,6.91,light snow
20,Hermanus,ZA,-34.4187,19.2345,59.81,89,13,10.74,few clouds
21,Zhangjiakou,CN,40.81,114.8794,56.88,26,100,4.79,overcast clouds
22,La Paz,BO,-16.5,-68.15,40.98,93,20,9.22,few clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,68.23,79,62,7.7,broken clouds
24,Sarankhola,BD,22.3082,89.7897,81.54,65,0,7.99,clear sky
25,Hobart,AU,-42.8794,147.3294,68.22,67,20,16.11,few clouds
26,Vaini,TO,-21.2,-175.2,75.36,94,100,6.91,overcast clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,59.95,94,100,13.0,overcast clouds
28,Lebu,CL,-37.6167,-73.65,50.32,91,49,4.85,scattered clouds
29,San Jose De Guanipa,VE,8.8872,-64.1651,77.86,76,93,9.26,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,35.26,87,40,11.5,scattered clouds
31,Narsaq,GL,60.9167,-46.05,35.82,61,0,11.05,clear sky
32,Erzin,TR,36.9559,36.2,66.31,85,42,0.02,scattered clouds
33,Scarborough,GB,54.2797,-0.4044,54.97,88,100,8.01,overcast clouds
34,Dikson,RU,73.5069,80.5464,32.2,98,100,21.61,light snow
35,Tucuman,AR,-26.8241,-65.2226,62.6,100,100,11.5,mist
36,Busselton,AU,-33.65,115.3333,63.59,81,97,14.34,overcast clouds
37,Lompoc,US,34.6391,-120.4579,73.02,68,0,8.05,clear sky
38,Half Moon Bay,US,37.4636,-122.4286,78.28,58,40,9.22,scattered clouds
39,Atuona,PF,-9.8,-139.0333,77.2,72,2,13.11,clear sky
40,Vao,NC,-22.6667,167.4833,71.1,64,86,18.07,overcast clouds
41,Panguna,PG,-6.3164,155.4848,84.83,50,33,0.78,scattered clouds
42,Progreso,MX,21.2833,-89.6667,75.31,79,100,14.94,light rain
43,Acapulco,MX,16.8634,-99.8901,80.42,74,100,11.5,overcast clouds
44,Maceio,BR,-9.6658,-35.7353,72.84,88,20,4.61,few clouds
45,Souillac,MU,-20.5167,57.5167,68.38,77,20,0.0,few clouds
46,Chokurdakh,RU,70.6333,147.9167,1.54,98,100,5.32,overcast clouds
47,Katsuura,JP,35.1333,140.3,65.57,46,0,10.94,clear sky
48,Yellowknife,CA,62.456,-114.3525,43.32,93,20,12.66,few clouds
49,Butaritari,KI,3.0707,172.7902,82.22,67,71,10.78,broken clouds
50,Pevek,RU,69.7008,170.3133,29.01,89,100,5.19,overcast clouds
51,Hithadhoo,MV,-0.6,73.0833,80.29,77,94,9.04,overcast clouds
52,Mataura,NZ,-46.1927,168.8643,56.48,90,97,13.2,overcast clouds
53,Kentau,KZ,43.5206,68.5094,44.71,55,17,4.72,few clouds
54,Hilo,US,19.7297,-155.09,83.28,78,100,3.44,overcast clouds
55,Sabha,LY,27.0377,14.4283,65.93,52,48,8.97,scattered clouds
56,Port Hedland,AU,-20.3167,118.5667,98.65,23,0,8.05,clear sky
57,Cape Town,ZA,-33.9258,18.4232,59.27,83,20,3.44,few clouds
58,Qaanaaq,GL,77.484,-69.3632,-0.6,63,0,11.1,clear sky
59,Bilma,NE,18.6853,12.9164,70.77,26,0,10.54,clear sky
60,Cayenne,GF,4.9333,-52.3333,77.04,94,40,2.3,scattered clouds
61,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,18.41,clear sky
62,Uaua,BR,-9.8414,-39.4817,70.92,70,59,15.99,broken clouds
63,Nanortalik,GL,60.1432,-45.2371,34.05,70,4,31.94,clear sky
64,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,100,4.61,overcast clouds
65,Quatre Cocos,MU,-20.2078,57.7625,73.09,66,23,10.47,few clouds
66,Constitucion,CL,-35.3333,-72.4167,51.44,93,18,7.94,few clouds
67,Warwick,US,41.7001,-71.4162,49.87,74,40,5.75,scattered clouds
68,Cockburn Town,TC,21.4612,-71.1419,82.74,76,25,10.71,scattered clouds
69,Maniwaki,CA,46.3834,-75.966,39.58,93,100,6.91,overcast clouds
70,Asau,RO,46.4333,26.4,45.52,84,85,4.29,overcast clouds
71,Mitu,CO,1.1983,-70.1733,72.84,99,100,2.13,light rain
72,Ribeira Grande,PT,38.5167,-28.7,62.78,83,99,3.0,overcast clouds
73,Preobrazheniye,RU,42.9019,133.9064,59.14,55,2,16.02,clear sky
74,Ponta Do Sol,PT,32.6667,-17.1,74.01,90,100,12.84,light rain
75,Jangaon,IN,17.7167,79.1833,76.8,83,5,4.74,clear sky
76,Ritchie,ZA,-29.038,24.6028,65.41,61,3,8.84,clear sky
77,Raudeberg,NO,61.9875,5.1352,34.47,63,98,2.3,overcast clouds
78,Puchezh,RU,56.9788,43.1676,37.42,77,7,8.63,clear sky
79,Krasnokamensk,RU,50.0979,118.0369,43.86,41,100,2.62,overcast clouds
80,Carnarvon,AU,-24.8667,113.6333,71.94,62,2,11.88,clear sky
81,Yinchuan,CN,38.4681,106.2731,61.65,48,91,2.95,overcast clouds
82,Chicama,PE,-7.8447,-79.1469,57.74,79,85,4.52,overcast clouds
83,Wuning,CN,29.2589,120.2311,70.18,47,28,5.1,scattered clouds
